Location,BHK,SquareFit,Balcony,Bathroom,Price
Nilgiris,5,4436,1,5,305.17
Tirupathur,2,4815,1,2,205.77
Ramanathapuram,2,4687,2,1,214.35
Cuddalore,3,1179,0,2,61.27
Vellore,5,874,0,1,32.88
Virudhunagar,5,4180,2,1,204.48
Perambalur,3,913,2,3,43.54
Tiruchirappalli,5,2983,2,2,191.4
Thanjavur,3,2282,3,1,96.35
Tiruchirappalli,5,3055,0,5,117.48
Tiruchirappalli,4,2514,3,4,105.97
Virudhunagar,5,3463,0,2,173.17
Theni,5,4305,3,1,193.43
Nilgiris,5,2423,2,2,90.64
Dharmapuri,4,4874,0,4,245.58
Krishnagiri,5,1489,0,6,73.08
Nilgiris,5,1803,1,2,57.27
Tirunelveli,5,701,2,5,46.32
Vellore,4,1647,3,5,77.75
Tiruvallur,4,1059,1,5,55.64
Thanjavur,5,637,2,1,32.9
Dharmapuri,5,2499,2,6,129.02
Nilgiris,4,3589,2,2,201.53
Dharmapuri,5,2743,1,2,130.32
Perambalur,3,774,0,1,37.19
Coimbatore,5,2929,0,5,129.63
Namakkal,4,3839,3,4,225.38
Tiruchirappalli,1,4364,1,2,254.5
Tirupathur,3,1087,3,1,46.85
Dindigul,2,1412,0,2,97.67
Chengalpattu,5,863,3,3,51.62
Kallakurichi,4,3155,2,4,74.28
Krishnagiri,4,1107,3,5,58.2
Dindigul,2,2488,3,2,97.27
Kallakurichi,2,1713,0,1,95.94
Chengalpattu,5,2789,3,4,82.24
Tirunelveli,3,3277,0,2,82.02
Nilgiris,4,3641,0,3,225.69
Tenkasi,3,3133,2,4,158.64
Namakkal,1,4397,1,1,136.83
Tiruvannamalai,1,3630,0,1,193
Tirunelveli,4,4492,3,3,215.79
Kanyakumari,5,2568,3,6,105.41
Dindigul,2,4322,0,2,202.44
Pudukkottai,1,3421,1,2,216.87
Pudukkottai,5,4471,3,1,259.51
Ranipet,1,1424,1,1,78.35
Mayiladuthurai,3,2108,2,4,134.47
Chennai,4,2447,3,2,105.11
Kallakurichi,5,3576,0,3,87.52
Ariyalur,1,4901,0,2,167.91
Vellore,3,4466,3,1,244.25
Tenkasi,5,3340,0,4,108.4
Ariyalur,1,4751,0,1,176.02
Tirupathur,5,1024,2,5,62.48
Tenkasi,3,494,0,3,15.76
Namakkal,4,3506,2,5,75.56
Ariyalur,1,1753,2,1,107.13
Tiruvannamalai,1,2833,2,2,64
Theni,3,493,1,3,17.55
Tiruppur,4,553,1,3,34.29
Kanchipuram,1,3410,2,1,135.46
Ariyalur,3,3004,1,1,176.66
Thanjavur,4,2684,0,1,184.52
Nilgiris,1,1119,2,1,33.66
Tirunelveli,4,3622,3,1,142.21
Mayiladuthurai,1,4718,0,1,189.02
Nagapattinam,5,4283,2,5,92.98
Tiruvarur,3,972,1,4,63.99
Dindigul,4,524,3,2,21.65
Karur,2,2187,1,3,119.22
Salem,4,3080,3,5,104.24
Dharmapuri,3,1625,1,1,69.5
Kanchipuram,4,4475,2,3,201.45
Dindigul,3,3637,3,1,121.6
Pudukkottai,4,3092,3,1,81.58
Virudhunagar,2,1605,2,2,49.57
Sivaganga,2,4487,3,3,299.18
Chennai,5,4260,1,3,228.91
Tenkasi,3,2504,2,4,83.93
Dindigul,4,1552,2,4,99.33
Kanchipuram,3,3915,1,1,240.7
Thanjavur,5,1860,3,5,115.02
Erode,5,4231,0,6,177.41
Virudhunagar,2,3640,1,1,142.63
Ranipet,2,1104,3,1,38.09
Kanyakumari,1,1149,1,2,41.02
Thoothukudi,4,4506,2,3,233
Kanyakumari,4,1493,3,4,64.47
Ramanathapuram,3,4591,2,2,250.02
Tiruvarur,5,2964,1,5,166.56
Tiruchirappalli,2,4178,2,1,163.6
Tiruppur,5,4776,1,3,157.47
Chennai,1,1903,1,2,52.18
Tenkasi,1,1173,3,1,70.06
Karur,3,674,1,4,16.31
Chengalpattu,5,4866,3,3,141.81
Nagapattinam,3,3478,1,4,218.03
Krishnagiri,2,3775,2,3,228.63
Dharmapuri,2,4610,0,2,189.72
Tirupathur,2,3298,0,2,159.29
Krishnagiri,2,4113,0,3,234.36
Krishnagiri,4,3953,3,5,144.24
Nagapattinam,4,2009,3,4,90.75
Cuddalore,4,4676,1,5,126.16
Tenkasi,4,4977,0,4,281.56
Coimbatore,2,1805,3,3,103.31
Krishnagiri,4,664,3,5,16.43
Krishnagiri,3,3715,3,4,155.56
Tiruppur,5,4780,2,3,193.12
Nilgiris,2,2157,3,2,47.72
Thoothukudi,1,825,2,2,29.23
Tirupathur,1,4608,2,2,111.51
Karur,4,2097,1,3,73.64
Tiruchirappalli,2,2542,3,2,107.74
Ramanathapuram,4,2542,1,3,54.07
Namakkal,1,1172,1,2,53.15
Cuddalore,3,2181,3,2,122.42
Chennai,3,4547,0,1,282.07
Dindigul,3,2018,0,2,76.41
Madurai,1,1850,3,2,112.38
Ariyalur,4,3277,3,4,97.8
Ramanathapuram,4,4199,2,2,256.17
Chengalpattu,3,4677,1,1,251.57
Mayiladuthurai,3,2902,3,1,176.69
Pudukkottai,3,3341,2,4,121.45
Dharmapuri,1,4479,3,2,131.93
Tirupathur,2,1325,1,2,70.5
Namakkal,4,663,0,5,33.23
Dindigul,5,1220,2,5,66.3
Chengalpattu,5,3057,3,4,172.46
Thoothukudi,1,4000,0,1,126.32
Ariyalur,5,1505,3,6,72.48
Virudhunagar,1,4548,2,2,108.4
Ariyalur,4,1603,0,3,63.36
Cuddalore,4,4429,0,2,182.2
Perambalur,3,4029,2,4,83.94
Kallakurichi,3,527,2,3,32.87
Vellore,4,3048,3,4,140.05
Namakkal,3,1623,0,2,81.08
Kanyakumari,4,401,3,1,8.87
Thanjavur,2,4313,3,1,164.91
Virudhunagar,2,1450,1,2,62.84
Chennai,4,3451,2,4,97.56
Sivaganga,2,2276,0,2,149.43
Erode,5,1750,0,1,71.24
Theni,1,4407,3,2,184.09
Mayiladuthurai,5,802,0,2,25.37
Coimbatore,3,2324,1,4,96.08
Cuddalore,1,1192,0,1,83.42
Chengalpattu,5,4255,0,4,224.67
Theni,1,545,3,1,35.96
Pudukkottai,5,1425,1,4,60.67
Mayiladuthurai,3,4333,3,2,258.86
Sivaganga,5,4897,0,6,166.6
Tirupathur,2,2080,2,2,66.55
Namakkal,1,1255,0,2,44.2
Thanjavur,1,945,2,2,63.43
Vellore,2,1132,2,3,44.26
Pudukkottai,4,2728,0,1,163.94
Ramanathapuram,5,4613,1,3,192.04
Madurai,1,1460,0,1,89.27
Krishnagiri,3,2858,3,1,88.68
Tiruvannamalai,2,1607,3,2,97.6
Karur,1,3339,1,1,191.86
Chennai,3,2880,1,3,166.09
Krishnagiri,3,4436,2,4,241.53
Pudukkottai,4,4595,1,1,289.8
Chengalpattu,2,3688,1,3,106.94
Thoothukudi,1,539,3,1,22.94
Krishnagiri,4,2542,0,5,155.67
Tiruvannamalai,5,2504,2,3,90.83
Tirupathur,2,3859,3,2,240.6
Ramanathapuram,2,2730,3,2,83.22
Coimbatore,2,4889,0,2,234.38
Tirunelveli,5,3613,1,6,128.88
Thoothukudi,3,1642,2,3,90.85
Nilgiris,3,3656,2,3,136.78
Tirunelveli,5,2328,2,4,80.29
Coimbatore,5,4306,1,2,164.74
Virudhunagar,1,3978,3,1,81.73
Salem,5,4968,0,4,150.93
Tirupathur,5,901,2,4,50.89
Tiruvarur,1,2811,0,1,129.43
Krishnagiri,5,1387,2,2,63.93
Chennai,1,1172,1,2,50.31
Tiruvannamalai,5,4508,3,6,236.53
Coimbatore,1,1991,2,1,110.98
Thanjavur,2,3373,2,1,87.7
Tiruvallur,4,1917,2,2,86.39
Nilgiris,1,4035,1,1,236.09
Virudhunagar,3,688,2,1,18.01
Krishnagiri,5,1329,2,6,54.89
Ariyalur,4,2901,2,1,166.86
Tenkasi,1,4403,0,2,219.69
Erode,5,810,0,1,41.77
Tirunelveli,5,2828,2,5,121.58
Cuddalore,5,4694,3,6,174.21
Ariyalur,4,1423,3,5,74.35
Chengalpattu,3,2403,1,1,131.1
Tiruchirappalli,3,4779,2,1,143.83
Salem,4,1674,2,2,79.43
Perambalur,4,1842,0,5,64.81
Chennai,2,4108,0,1,223.33
Krishnagiri,3,967,2,1,30.82
Tirupathur,3,4814,1,2,283.12
Erode,2,1937,0,3,116.09
Dindigul,4,1591,2,3,91.87
Nilgiris,1,4731,2,2,231.88
Ramanathapuram,3,1962,1,3,101.79
Tenkasi,3,2537,3,3,110.85
Ramanathapuram,4,2508,0,1,125.41
Chennai,3,2368,1,3,105.28
Salem,4,431,2,3,24.69
Ranipet,2,3567,1,1,202.56
Mayiladuthurai,3,4666,2,2,316.11
Nagapattinam,1,1309,0,1,85.75
Virudhunagar,3,4803,1,4,202.4
Theni,4,3765,2,1,99.21
Ariyalur,1,4644,1,2,311.09
Tirunelveli,4,2867,0,2,73.91
Tiruppur,4,950,1,3,59.73
Perambalur,2,1402,1,2,72.69
Tiruvarur,1,1641,3,1,110.05
Tenkasi,3,4037,1,2,244.09
Chennai,4,2684,3,2,58.36
Tirupathur,2,805,0,2,48.66
Erode,2,608,0,1,15.38
Mayiladuthurai,2,3611,0,2,204.42
Ariyalur,1,3526,0,2,202.23
Nilgiris,1,4472,2,1,245.97
Perambalur,3,446,0,4,19.49
Perambalur,1,824,2,1,18.8
Nagapattinam,5,4347,1,5,99.74
Salem,1,2124,0,2,78.01
Tenkasi,1,1590,1,2,65.87
Viluppuram,3,4695,1,2,185.36
Tirupathur,4,1923,2,1,119.31
Thoothukudi,4,3545,0,1,199.21
Theni,5,2268,3,1,144.52
Tenkasi,1,2117,3,1,147.77
Karur,5,3548,2,2,114.42
Tirupathur,3,4519,1,3,251.43
Tiruvallur,1,3939,3,1,144.07
Salem,5,1812,3,4,101.32
Tiruvallur,3,1098,1,1,60.74
Karur,3,1123,2,1,39.67
Tirupathur,3,3358,3,1,220.96
Sivaganga,4,3899,3,1,93.86
Kallakurichi,3,2177,2,1,136.51
Tenkasi,4,2592,2,5,87.93
Salem,1,3449,3,1,181.64
Salem,3,4789,3,2,225.02
Tiruvallur,1,1573,2,1,101.02
Kanchipuram,3,1404,0,3,61.24
Virudhunagar,2,4746,2,3,307.08
Dindigul,1,2038,0,2,129.51
Salem,4,2462,2,3,74.73
Pudukkottai,1,2301,3,2,90.47
Mayiladuthurai,3,3678,2,2,240.34
Pudukkottai,5,2640,2,2,105.18
Nagapattinam,2,3296,1,3,201.71
Vellore,1,469,2,1,30.13
Kanyakumari,1,4889,2,1,280.93
Perambalur,1,2676,3,1,121.77
Tenkasi,4,2338,3,2,81.7
Salem,3,3565,0,1,92.24
Perambalur,2,752,3,1,44.58
Cuddalore,2,1886,1,2,65.8
Tiruvallur,1,503,2,2,24.73
Tirunelveli,2,640,0,1,43.07
Thoothukudi,4,4207,2,5,88.49
Tirupathur,2,3465,2,2,188.65
Nilgiris,4,2779,0,3,71.75
Cuddalore,4,1016,1,5,47.99
Virudhunagar,4,2860,2,3,79.35
Dindigul,1,800,1,2,51.39
Dindigul,4,2410,3,1,50.31
Perambalur,4,3304,3,4,112.78
Mayiladuthurai,1,3441,0,1,210.5
Viluppuram,1,2518,3,1,105.07
Kanyakumari,4,675,1,5,15.33
Karur,2,811,2,3,52.95
Cuddalore,3,1629,3,3,98.66
Dharmapuri,5,1622,2,1,43.79
Tiruvannamalai,5,565,3,3,30.13
Sivaganga,5,514,0,6,20.21
Kanchipuram,3,3177,0,4,167.04
Erode,2,1900,2,1,130.27
Chennai,1,4581,1,1,247.14
Viluppuram,4,2554,2,1,90.34
Sivaganga,5,1538,0,2,107.48
Tirunelveli,1,3663,2,1,88.05
Vellore,1,3203,1,2,186.17
Cuddalore,3,4747,1,4,250.1
Kanyakumari,5,1658,1,4,104.75
Tiruvallur,1,631,2,2,14.02
Tirunelveli,5,3499,0,1,125.27
Tenkasi,4,1417,1,1,85.04
Krishnagiri,2,1532,1,2,100.81
Madurai,3,3488,2,2,158.76
Dharmapuri,5,428,2,6,10.53
Tiruchirappalli,3,4374,3,4,147.71
Pudukkottai,2,3388,3,2,94.16
Coimbatore,2,4789,3,1,266.81
Tirupathur,1,2932,1,1,150.19
Chengalpattu,4,4008,1,4,86.67
Cuddalore,3,929,3,3,55.32
Kallakurichi,2,1875,0,3,79.4
Pudukkottai,4,3582,2,5,220.93
Tiruvallur,4,1061,3,1,69.95
Sivaganga,3,1295,0,1,76.18
Ranipet,1,523,1,2,24.1
Vellore,2,3362,1,2,172.52
Salem,2,1167,3,1,56.58
Mayiladuthurai,2,4325,0,3,206.15
Tiruvarur,3,3308,3,2,217.48
Ranipet,2,1421,1,1,48.39
Tiruppur,4,2362,0,2,158.79
Virudhunagar,5,1574,2,1,66.83
Tiruvallur,2,2763,2,1,137.18
Tiruchirappalli,1,2221,0,2,102.98
Nagapattinam,3,1133,3,2,73.6
Ariyalur,2,1717,2,2,47.62
Cuddalore,4,1256,0,2,48.08
Pudukkottai,4,2290,1,5,61.28
Dharmapuri,5,2295,2,4,159.06
Viluppuram,1,4207,1,1,194.07
Tenkasi,2,721,2,2,37.69
Chengalpattu,5,1147,1,4,24.32
Tiruvarur,4,1631,1,1,79.52
Chengalpattu,1,940,1,2,42.16
Tenkasi,4,2687,2,2,163.76
Thanjavur,3,3938,0,3,196.32
Tenkasi,4,3655,1,1,85.09
Karur,1,2473,3,2,94.06
Madurai,3,3914,2,4,150.69
Dindigul,3,4395,2,4,134.32
Theni,4,1207,1,3,33.4
Pudukkottai,5,4992,3,2,277.16
Tirupathur,5,4969,0,6,245.29
Tiruchirappalli,4,3482,2,3,97.49
Krishnagiri,1,618,1,2,29.73
Dharmapuri,5,1098,1,6,36.2
Ranipet,4,1878,3,5,122.2
Tiruvannamalai,4,1291,1,1,83.89
Nagapattinam,3,1703,2,1,103.23
Mayiladuthurai,1,2765,0,2,181.22
Tiruvallur,1,2532,0,2,150.4
Sivaganga,3,1196,2,3,55.33
Tiruppur,3,2555,3,4,70.48
Ariyalur,5,2212,1,2,65.57
Tiruvarur,1,1813,2,1,43.38
Krishnagiri,5,925,1,2,49.1
Nilgiris,4,4389,2,5,227.05
Ranipet,5,3639,0,4,243.33
Tiruvarur,2,3658,0,3,167.41
Kanyakumari,3,2948,0,3,88.8
Theni,1,1226,3,2,26.03
Sivaganga,1,3751,1,2,168.21
Virudhunagar,5,795,3,3,23.38
Tirunelveli,1,3170,0,1,66.66
Dharmapuri,4,978,0,3,43.74
Namakkal,5,2740,3,4,183.52
Sivaganga,2,859,2,2,33.48
Vellore,1,3993,0,2,151.21
Karur,4,840,2,1,17.36
Thoothukudi,2,2988,2,3,76.18
Virudhunagar,3,2068,3,1,89.33
Ranipet,1,4204,1,2,138.58
Kallakurichi,1,4392,1,1,161.6
Tiruvannamalai,2,3468,1,3,73.17
Sivaganga,3,3136,2,2,117.54
Tenkasi,3,1848,1,4,76.71
Coimbatore,2,3500,3,2,235.24
Kallakurichi,2,4668,0,3,148.97
Vellore,2,3600,2,2,208.83
Tiruvarur,5,1649,0,2,82.14
Tiruvallur,1,2609,2,2,127.87
Theni,5,4735,0,2,206.8
Tirupathur,5,748,1,3,31.86
Kallakurichi,4,4087,0,1,128.24
Kanyakumari,2,2647,3,3,101.09
Dindigul,5,563,0,4,19.73
Tiruvarur,3,2617,2,2,174.52
Salem,5,4545,2,2,276.3
Dharmapuri,5,4385,1,5,254.79
Nagapattinam,2,4089,1,3,154.66
Chennai,2,3888,3,1,216.87
Vellore,3,2411,1,3,111.64
Ramanathapuram,4,3259,3,2,154.78
Chennai,5,4769,2,4,119.9
Tiruvarur,5,3179,0,3,193.94
Tenkasi,4,4885,1,2,314.7
Krishnagiri,4,3307,3,1,166.22
Kanyakumari,5,1250,2,1,83.08
Erode,1,2739,2,1,172.46
Sivaganga,2,2550,2,1,152.08
Dharmapuri,3,3160,1,3,77.2
Pudukkottai,5,4354,0,4,103.65
Vellore,5,2864,2,4,92.37
Tiruvarur,5,658,1,3,36.03
Madurai,4,1926,2,5,95.78
Salem,1,4342,2,1,188.12
Tirupathur,2,546,2,1,29.54
Tiruvallur,5,3470,3,3,89.22
Karur,1,4608,2,2,99.3
Cuddalore,2,3425,3,2,93.42
Madurai,5,1265,0,1,42.87
Perambalur,2,3367,3,3,225.34
Kallakurichi,4,3732,2,5,213.74
Erode,1,1679,0,2,71.16
Nilgiris,5,1109,2,1,29.11
Tiruvarur,2,2951,1,3,109.97
Vellore,1,859,3,1,21.15
Dindigul,3,1798,0,1,54.62
Tenkasi,2,2394,1,1,138.66
Ramanathapuram,3,1742,1,2,53.69
Kallakurichi,3,747,2,4,32.44
Coimbatore,4,3854,0,5,218.35
Tiruppur,3,3166,1,1,70.78
Krishnagiri,2,2112,2,1,124.65
Chennai,5,1854,3,2,70.83
Mayiladuthurai,4,4299,0,4,208.09
Nagapattinam,1,3508,1,1,86.83
Dharmapuri,5,2865,3,6,192.44
Nagapattinam,3,965,1,2,50.12
Tiruvarur,1,4787,1,2,193.67
Mayiladuthurai,2,4702,0,2,210.11
Tirupathur,3,3750,2,4,87.72
Tirunelveli,1,2389,1,1,72.43
Sivaganga,3,4593,2,3,206.19
Dindigul,3,2927,3,3,60.9
Kanchipuram,1,2452,3,1,58.53
Tirunelveli,3,2213,2,2,98.99
Thanjavur,2,4630,3,3,302.14
Kallakurichi,5,2564,2,3,140.79
Namakkal,2,1617,1,1,45.87
Nagapattinam,1,3122,0,1,140.61
Tenkasi,4,1429,0,3,95.28
Tirupathur,1,4255,1,2,124.5
Viluppuram,3,2725,0,3,69.59
Madurai,2,1778,0,2,57.01
Ranipet,2,738,2,1,33.54
Kanyakumari,3,2671,0,3,83.75
Ranipet,2,593,0,3,23.86
Mayiladuthurai,5,2299,1,3,126.03
Kanyakumari,3,2222,2,3,114.22
Sivaganga,2,879,1,3,58.91
Tenkasi,2,2382,1,3,154.93
Madurai,1,4971,0,1,264.86
Pudukkottai,5,683,2,2,36.4
Dindigul,2,3071,1,3,173.23
Chengalpattu,5,1090,3,4,32.45
Sivaganga,4,3149,1,5,147.05
Tirupathur,3,2900,1,4,195.13
Nagapattinam,2,4286,3,1,268.86
Chengalpattu,3,2417,0,3,100.09
Tirupathur,5,693,1,6,18.01
Tiruppur,3,3626,3,1,182.07
Viluppuram,2,1852,2,1,92.91
Chennai,3,1869,1,4,77.47
Tirunelveli,1,1514,3,1,61.49
Coimbatore,2,2409,2,2,107.45
Nilgiris,1,4679,1,1,125.93
Virudhunagar,3,4010,0,2,248.64
Krishnagiri,1,4006,3,2,129.26
Cuddalore,1,3845,3,1,247.04
Perambalur,4,4845,2,4,329.84
Ariyalur,2,4290,1,3,174.83
Dindigul,1,1003,1,1,51.98
Cuddalore,5,1167,3,3,78.94
Perambalur,2,3968,2,2,250.07
Krishnagiri,5,3364,3,6,77.94
Kanyakumari,1,746,0,1,25.79
Erode,5,2879,3,2,179
Tiruchirappalli,2,1963,3,3,90.85
Thoothukudi,2,1304,2,1,40.92
Erode,5,4963,1,5,250.68
Thanjavur,4,4134,3,2,179.95
Kanchipuram,2,3507,1,2,228.93
Ariyalur,1,4344,0,2,217.62
Ranipet,5,3945,1,4,184.09
Ranipet,1,1084,1,1,39.04
Coimbatore,2,620,2,2,33.1
Chengalpattu,5,4932,1,6,275.81
Karur,3,489,2,1,32.97
Kanchipuram,3,2576,1,4,114.44
Theni,1,577,2,2,22.8
Thoothukudi,1,4480,3,2,258.88
Kanchipuram,1,3885,3,1,188.01
Nilgiris,3,3528,0,1,223.15
Theni,3,534,0,1,23.67
Tiruppur,1,2883,2,1,129.95
Tiruvannamalai,2,4385,2,3,190.83
Chennai,2,2974,1,2,141.42
Tiruvallur,2,1253,3,1,73.43
Tirunelveli,4,2033,1,5,97.03
Tirunelveli,4,2412,3,5,120.1
Tiruppur,5,1845,2,6,105.27
Pudukkottai,2,561,1,1,13.53
Theni,4,892,1,1,37.83
Tirupathur,4,4301,0,5,286.03
Kanyakumari,5,632,2,5,28.72
Theni,3,4778,2,4,330.31
Dharmapuri,3,1852,2,4,88.96
Kanyakumari,2,1546,2,2,103.12
Tirunelveli,4,1563,0,5,71.12
Thanjavur,1,2237,0,1,49.95
Tirunelveli,5,3123,2,6,162.5
Dindigul,4,2706,1,3,163.87
Perambalur,5,534,1,1,30
Dindigul,3,1444,0,3,42.26
Cuddalore,1,1943,1,2,62.72
Madurai,5,711,3,6,38.93
Erode,4,3223,2,4,84.96
Vellore,2,3405,1,2,236.98
Cuddalore,3,1891,3,4,50.52
Vellore,5,3257,0,5,113.24
Pudukkottai,3,3903,0,1,184.32
Thanjavur,2,3603,2,2,157.06
Nagapattinam,3,1114,0,3,55.61
Chengalpattu,4,1104,2,3,67.13
Nilgiris,3,1338,2,3,79.57
Chengalpattu,4,1541,1,5,40.72
Salem,2,4790,0,1,326.17
Karur,3,4688,1,1,221.39
Pudukkottai,4,3721,2,4,177.97
Krishnagiri,4,4084,0,3,179.08
Tiruvallur,3,2837,2,3,161.66
Viluppuram,4,2321,1,4,107.68
Namakkal,2,2491,2,3,101.04
Tiruvarur,1,2664,3,2,167.6
Salem,1,1352,2,1,51.57
Thanjavur,1,1529,0,1,59.42
Cuddalore,4,437,2,4,19.02
Chennai,5,3310,0,6,141.65
Ranipet,3,4413,1,4,199.85
Kanyakumari,1,3007,0,2,90.55
Namakkal,5,3841,1,4,229.28
Kanchipuram,3,4786,1,4,322.94
Thoothukudi,1,2164,2,1,50.23
Tiruvallur,3,3791,1,1,77.47
Viluppuram,5,2314,0,3,128.25
Virudhunagar,3,1299,2,3,26.63
Sivaganga,4,4910,1,2,341.67
Theni,3,1595,2,2,61
Coimbatore,4,2144,1,4,133.33
Thoothukudi,2,1934,1,1,69.08
Pudukkottai,2,2979,3,2,138.46
Pudukkottai,1,3912,1,2,209.53
Tiruchirappalli,5,4833,1,1,251.75
Chengalpattu,4,1662,2,2,63.67
Tiruvannamalai,4,4644,0,2,301.71
Thoothukudi,2,4920,1,3,262.85
Namakkal,2,2695,0,2,155.72
Mayiladuthurai,2,1182,3,1,77.57
Ramanathapuram,3,4840,1,3,282.44
Erode,2,1729,0,3,85.85
Vellore,5,1889,3,3,105.76
Dharmapuri,3,3944,3,1,99.36
Viluppuram,5,1251,1,4,73.27
Tiruvannamalai,4,4951,3,4,293.47
Karur,1,952,2,1,66.36
Chengalpattu,5,2407,3,5,52.23
Cuddalore,4,3124,0,3,65.08
Ranipet,2,1865,0,3,95.72
Ramanathapuram,4,4069,0,3,159.05
Viluppuram,1,1674,0,1,110.01
Tirunelveli,3,2059,2,1,46.16
Perambalur,2,3643,0,1,169.89
Dharmapuri,1,943,3,2,21.92
Chengalpattu,5,3672,3,6,141.43
Nagapattinam,2,851,3,3,40.86
Theni,1,2029,1,2,91.45
Virudhunagar,3,3177,3,1,150.97
Tirunelveli,2,3610,1,3,204.2
Namakkal,4,996,2,5,36.53
Ramanathapuram,1,3265,3,1,127.14
Ranipet,1,4704,3,1,125.31
Thoothukudi,1,3605,2,1,113.94
Tenkasi,4,1497,1,2,103.59
Chengalpattu,5,1891,2,5,89.55
Perambalur,2,3161,1,3,168.44
Coimbatore,2,748,0,1,27.1
Vellore,4,2029,0,1,104.93
Dindigul,5,688,1,5,29.04
Tirunelveli,2,4791,2,2,192.67
Karur,2,4353,3,2,169.98
Karur,2,1735,0,2,40.73
Thanjavur,2,451,0,1,10.47
Virudhunagar,1,1899,2,1,122.88
Namakkal,2,3400,1,3,195.58
Pudukkottai,3,4942,3,1,183.6
Tiruvannamalai,3,4875,2,4,254.64
Tiruvannamalai,1,2748,0,2,172.24
Salem,4,4420,3,4,214.77
Tirunelveli,3,2002,2,3,132.71
Theni,1,4846,0,1,209.13
Theni,4,850,3,4,37.03
Perambalur,1,1873,2,2,105.96
Tirunelveli,4,2731,0,1,68.3
Tenkasi,5,1619,0,1,89.3
Kallakurichi,4,1063,3,3,39.57
Tiruvallur,4,1964,0,2,136.8
Nilgiris,4,4961,0,2,299.17
Madurai,2,3853,0,2,149.33
Perambalur,4,3422,2,5,113.63
Perambalur,4,961,0,5,32.96
Coimbatore,1,4200,2,1,139.97
Namakkal,4,882,3,5,60.77
Dindigul,4,437,2,5,15.9
Nagapattinam,2,1926,1,2,117.57
Ramanathapuram,4,3501,3,1,150.89
Tiruvannamalai,2,1921,0,3,62.92
Kallakurichi,5,868,2,5,23.04
Tiruvarur,1,1059,1,1,57.67
Ramanathapuram,1,4345,3,2,92.35
Coimbatore,5,860,2,1,25.94
Krishnagiri,4,1345,2,3,81.89
Ranipet,3,1593,0,4,32.47
Thanjavur,5,704,1,4,37.75
Ranipet,2,592,1,2,36.38
Pudukkottai,5,2812,3,3,157.59
Viluppuram,4,1896,2,1,104.16
Nagapattinam,3,555,2,2,31.65
Cuddalore,5,4185,3,3,171.33
Ranipet,4,4965,1,4,315.58
Vellore,2,1202,2,1,82.47
Salem,1,489,2,2,20.05
Kanchipuram,1,783,1,2,47.24
Virudhunagar,2,808,2,3,31.19
Tiruvannamalai,4,1388,3,4,64.89
Tiruvallur,4,4906,1,2,109.98
Theni,1,3722,2,2,155.25
Viluppuram,2,2287,0,2,82.85
Erode,5,4818,1,3,238.39
Perambalur,4,4863,3,2,139.17
Tiruvarur,5,1584,2,6,36.43
Kallakurichi,1,2370,1,1,56.76
Coimbatore,3,4006,2,1,240.35
Tirunelveli,5,2595,2,4,97.71
Krishnagiri,3,2338,0,1,64.81
Nagapattinam,3,4468,2,3,146.08
Theni,2,1968,1,2,60.61
Erode,4,3651,3,5,130.67
Chengalpattu,2,4956,0,2,284.7
Kanyakumari,3,4445,1,4,125.01
Tiruvallur,1,3217,0,2,74.86
Madurai,2,2637,0,1,130.78
Salem,5,4857,3,1,167.29
Tiruvannamalai,5,1477,1,6,66.5
Ramanathapuram,5,4080,1,3,280.01
Ramanathapuram,3,2863,3,1,137.27
Mayiladuthurai,3,4735,0,3,221.06
Namakkal,2,2189,2,2,92.22
Nagapattinam,5,832,1,2,56.37
Krishnagiri,4,887,2,3,30.69
Theni,3,2657,1,4,61.24
Nilgiris,3,4753,3,2,137.34
Salem,4,1545,0,5,86.77
Ramanathapuram,3,1726,2,4,66.53
Coimbatore,1,1390,2,1,45.44
Ramanathapuram,3,823,0,4,38.07
Mayiladuthurai,5,746,3,1,38.46
Sivaganga,4,4219,2,4,173.67
Salem,4,669,2,1,16.18
Krishnagiri,4,2345,1,5,108.84
Salem,2,608,2,1,30.56
Tiruppur,2,3885,1,3,158
Madurai,4,3842,1,3,185.09
Tiruvallur,5,3643,0,6,139.22
Ariyalur,5,3923,3,3,246.32
Nagapattinam,1,3757,3,1,178.96
Vellore,4,1312,3,1,71.5
Thanjavur,1,1696,3,1,81
Chengalpattu,2,4020,3,1,97.94
Madurai,3,3366,2,2,137.88
Cuddalore,4,2752,2,5,131.93
Mayiladuthurai,5,2347,2,4,74.74
Perambalur,4,2423,2,4,147.21
Karur,5,933,3,1,27.47
Tiruvarur,4,1949,3,4,119.18
Mayiladuthurai,5,993,2,2,28.79
Thanjavur,2,4726,0,3,263.45
Thanjavur,5,673,0,6,14.18
Vellore,1,863,1,1,47.88
Namakkal,1,4530,0,1,162.08
Chengalpattu,3,3623,3,4,241.29
Tirupathur,3,3596,2,3,122.07
Nagapattinam,3,4633,1,1,291.62
Pudukkottai,2,4700,2,2,255.02
Virudhunagar,2,1450,1,1,55.48
Salem,4,2584,0,1,99.95
Sivaganga,3,2879,2,1,151.27
Tiruppur,4,1726,3,4,53.97
Theni,4,508,3,5,31.93
Coimbatore,1,3122,0,2,107.82
Tirupathur,2,2321,0,3,51.66
Nagapattinam,3,1866,1,1,69.61
Tenkasi,2,1802,2,3,39.97
Tirunelveli,2,2270,1,2,97.62
Dindigul,5,2900,1,4,75.77
